STATION_ID,LONGITUDE,LATITUDE,LAKE
ER15M,-79.893033,42.516133,Erie
ER78M,-81.250117,42.116883,Erie
ER91M,-82.916,41.84,Erie
HU15M,-82.349817,44.00005,Huron
HU45M,-82.98415,45.13635,Huron
HU54M,-83.416667,45.51675,Huron
HUFE,-83.01635,45.249767,Huron
MI18M,-86.999033,42.734267,Michigan
MI27M,-86.916,43.6,Michigan
MI41M,-86.722,44.737,Michigan
ON33M,-78.801917,43.5973,Ontario
ON55M,-77.43775,43.443133,Ontario
ON64B,-76.333833,43.58265,Ontario
SU01M,-85.161283,46.9937,Superior
SU08M,-86.816883,47.605667,Superior
SU17M,-89.662,47.166,Superior
SU18,-90.1518,47.514217,Superior